Date,power
2019-10-25,59.0703003710531
2019-10-26,47.643833275461
2019-10-27,38.7169314872692
2019-10-28,38.1124878819446
2019-10-29,78.043461422249
2019-10-30,55.1368269386562
2019-10-31,69.2957257946721
2019-11-01,71.460700289351
2019-11-02,71.6968779876032
2019-11-03,57.2357958999555
2019-11-04,106.975656724708
2019-11-05,83.6274067332026
2019-11-06,100.641353552861
2019-11-07,127.011742365916
2019-11-08,33.9241174632922
2019-11-09,91.5516631201191
2019-11-10,55.1581909742285
2019-11-11,56.5075232852264
2019-11-12,41.2767738968427
2019-11-13,47.8021623737581
2019-11-14,91.1538096979006
2019-11-15,71.3581689467643
2019-11-16,84.578370503472
2019-11-17,121.381140997969
2019-11-18,97.1648043904482
2019-11-19,101.852792257889
2019-11-20,119.818887419631
2019-11-21,110.91487621621
2019-11-22,91.7416909259239
2019-11-23,101.626877384261
2019-11-24,74.3565791925832
2019-11-25,83.5699263566489
