Date,power
2019-10-25,28.9660404942476
2019-10-26,33.5967236400452
2019-10-27,26.6624675578701
2019-10-28,19.0381834837954
2019-10-29,141.349445268308
2019-10-30,37.7921264930568
2019-10-31,29.8238425065252
2019-11-01,51.2328456828686
2019-11-02,60.7838116697501
2019-11-03,59.9639572757496
2019-11-04,295.055275368201
2019-11-05,110.359754535582
2019-11-06,32.7074084809892
2019-11-07,49.1981244774344
2019-11-08,32.3556772761665
2019-11-09,37.2827169537062
2019-11-10,34.2894583804848
2019-11-11,24.2656783411703
2019-11-12,77.1641053305708
2019-11-13,46.6774345615808
2019-11-14,263.093815742036
2019-11-15,172.841138634254
2019-11-16,166.083299100754
2019-11-17,25.7569710536909
2019-11-18,86.8130880432068
2019-11-19,115.405760932603
2019-11-20,260.191903029438
2019-11-21,110.912051912948
2019-11-22,106.218713726848
2019-11-23,82.7922612268526
2019-11-24,66.2849703722256
2019-11-25,150.001027728552
